Цех;Период;Продукт;План;Факт;Отклонение;Выполнение %
Цех Epsilon;2025-10;Узел B;122;0;-122;0.0%
Цех Epsilon;2025-10;Корпус C;100;0;-100;0.0%
Цех Epsilon;2025-10;Модуль D;104;0;-104;0.0%
Цех Epsilon;2025-10;Рама E;129;0;-129;0.0%
Цех Epsilon;2025-10;Кронштейн F;102;0;-102;0.0%
Цех Epsilon;2025-10;Шток G;121;0;-121;0.0%
Цех Epsilon;2025-10;Плата H;130;0;-130;0.0%
Цех Epsilon;2025-11;Деталь A;90;0;-90;0.0%
Цех Epsilon;2025-11;Узел B;101;0;-101;0.0%
Цех Epsilon;2025-11;Корпус C;92;0;-92;0.0%
Цех Epsilon;2025-11;Модуль D;102;0;-102;0.0%
Цех Epsilon;2025-11;Рама E;72;0;-72;0.0%
Цех Epsilon;2025-11;Кронштейн F;87;0;-87;0.0%
Цех Epsilon;2025-11;Шток G;94;0;-94;0.0%
Цех Epsilon;2025-11;Плата H;111;0;-111;0.0%
Цех Epsilon;2025-12;Деталь A;100;0;-100;0.0%
Цех Epsilon;2025-12;Узел B;123;0;-123;0.0%
Цех Epsilon;2025-12;Корпус C;127;0;-127;0.0%
Цех Epsilon;2025-12;Модуль D;72;0;-72;0.0%
Цех Epsilon;2025-12;Рама E;109;0;-109;0.0%
Цех Epsilon;2025-12;Кронштейн F;115;0;-115;0.0%
Цех Epsilon;2025-12;Шток G;93;0;-93;0.0%
Цех Epsilon;2025-12;Плата H;119;0;-119;0.0%
Цех Zeta;2025-01;Деталь A;101;0;-101;0.0%
Цех Zeta;2025-01;Узел B;116;0;-116;0.0%
Цех Zeta;2025-01;Корпус C;91;0;-91;0.0%
Цех Zeta;2025-01;Модуль D;92;0;-92;0.0%
Цех Zeta;2025-01;Рама E;71;0;-71;0.0%
Цех Zeta;2025-01;Кронштейн F;96;0;-96;0.0%
Цех Zeta;2025-01;Шток G;111;0;-111;0.0%
Цех Zeta;2025-01;Плата H;71;0;-71;0.0%
Цех Zeta;2025-02;Деталь A;95;0;-95;0.0%
Цех Zeta;2025-02;Узел B;86;0;-86;0.0%
Цех Zeta;2025-02;Корпус C;109;0;-109;0.0%
Цех Zeta;2025-02;Модуль D;102;0;-102;0.0%
Цех Zeta;2025-02;Рама E;78;0;-78;0.0%
Цех Zeta;2025-02;Кронштейн F;112;0;-112;0.0%
Цех Zeta;2025-02;Шток G;123;0;-123;0.0%
Цех Zeta;2025-02;Плата H;117;0;-117;0.0%
Цех Zeta;2025-03;Деталь A;108;0;-108;0.0%
Цех Zeta;2025-03;Узел B;98;0;-98;0.0%
Цех Zeta;2025-03;Корпус C;111;0;-111;0.0%
Цех Zeta;2025-03;Модуль D;124;0;-124;0.0%
Цех Zeta;2025-03;Рама E;95;0;-95;0.0%
Цех Zeta;2025-03;Кронштейн F;104;0;-104;0.0%
Цех Zeta;2025-03;Шток G;119;0;-119;0.0%
Цех Zeta;2025-03;Плата H;94;0;-94;0.0%
Цех Zeta;2025-04;Деталь A;93;0;-93;0.0%
Цех Zeta;2025-04;Узел B;82;0;-82;0.0%
Цех Zeta;2025-04;Корпус C;129;0;-129;0.0%
Цех Zeta;2025-04;Модуль D;127;0;-127;0.0%
Цех Zeta;2025-04;Рама E;76;0;-76;0.0%
Цех Zeta;2025-04;Кронштейн F;126;0;-126;0.0%
Цех Zeta;2025-04;Шток G;105;0;-105;0.0%
Цех Zeta;2025-04;Плата H;114;0;-114;0.0%
Цех Zeta;2025-05;Деталь A;89;0;-89;0.0%
Цех Zeta;2025-05;Узел B;70;0;-70;0.0%
Цех Zeta;2025-05;Корпус C;77;0;-77;0.0%
Цех Zeta;2025-05;Модуль D;115;0;-115;0.0%
Цех Zeta;2025-05;Рама E;85;0;-85;0.0%
Цех Zeta;2025-05;Кронштейн F;83;0;-83;0.0%
Цех Zeta;2025-05;Шток G;81;0;-81;0.0%
Цех Zeta;2025-05;Плата H;120;0;-120;0.0%
Цех Zeta;2025-06;Деталь A;92;0;-92;0.0%
Цех Zeta;2025-06;Узел B;84;0;-84;0.0%
Цех Zeta;2025-06;Корпус C;97;0;-97;0.0%
Цех Zeta;2025-06;Модуль D;103;0;-103;0.0%
Цех Zeta;2025-06;Рама E;71;0;-71;0.0%
Цех Zeta;2025-06;Кронштейн F;101;0;-101;0.0%
Цех Zeta;2025-06;Шток G;92;0;-92;0.0%
Цех Zeta;2025-06;Плата H;91;0;-91;0.0%
Цех Zeta;2025-07;Деталь A;120;0;-120;0.0%
Цех Zeta;2025-07;Узел B;94;0;-94;0.0%
Цех Zeta;2025-07;Корпус C;127;0;-127;0.0%
Цех Zeta;2025-07;Модуль D;130;0;-130;0.0%
Цех Zeta;2025-07;Рама E;91;0;-91;0.0%
Цех Zeta;2025-07;Кронштейн F;127;0;-127;0.0%
Цех Zeta;2025-07;Шток G;127;0;-127;0.0%
Цех Zeta;2025-07;Плата H;91;0;-91;0.0%
Цех Zeta;2025-08;Деталь A;118;0;-118;0.0%
Цех Zeta;2025-08;Узел B;121;0;-121;0.0%
Цех Zeta;2025-08;Корпус C;111;0;-111;0.0%
Цех Zeta;2025-08;Модуль D;75;0;-75;0.0%
Цех Zeta;2025-08;Рама E;84;0;-84;0.0%
Цех Zeta;2025-08;Кронштейн F;123;0;-123;0.0%
Цех Zeta;2025-08;Шток G;112;0;-112;0.0%
Цех Zeta;2025-08;Плата H;129;0;-129;0.0%
Цех Zeta;2025-09;Деталь A;106;0;-106;0.0%
Цех Zeta;2025-09;Узел B;102;0;-102;0.0%
Цех Zeta;2025-09;Корпус C;77;0;-77;0.0%
Цех Zeta;2025-09;Модуль D;122;0;-122;0.0%
Цех Zeta;2025-09;Рама E;129;0;-129;0.0%
Цех Zeta;2025-09;Кронштейн F;113;0;-113;0.0%
Цех Zeta;2025-09;Шток G;113;0;-113;0.0%
Цех Zeta;2025-09;Плата H;74;0;-74;0.0%
Цех Zeta;2025-10;Деталь A;108;0;-108;0.0%
Цех Zeta;2025-10;Узел B;73;0;-73;0.0%
Цех Zeta;2025-10;Корпус C;75;0;-75;0.0%
Цех Zeta;2025-10;Модуль D;114;0;-114;0.0%
Цех Zeta;2025-10;Рама E;101;0;-101;0.0%
Цех Zeta;2025-10;Кронштейн F;121;0;-121;0.0%
Цех Zeta;2025-10;Шток G;99;0;-99;0.0%
Цех Zeta;2025-10;Плата H;116;0;-116;0.0%
Цех Zeta;2025-11;Деталь A;104;0;-104;0.0%
Цех Zeta;2025-11;Узел B;124;0;-124;0.0%
Цех Zeta;2025-11;Корпус C;109;0;-109;0.0%
Цех Zeta;2025-11;Модуль D;121;0;-121;0.0%
Цех Zeta;2025-11;Рама E;85;0;-85;0.0%
Цех Zeta;2025-11;Кронштейн F;82;0;-82;0.0%
Цех Zeta;2025-11;Шток G;119;0;-119;0.0%
Цех Zeta;2025-11;Плата H;129;0;-129;0.0%
Цех Zeta;2025-12;Деталь A;111;0;-111;0.0%
Цех Zeta;2025-12;Узел B;99;0;-99;0.0%
Цех Zeta;2025-12;Корпус C;88;0;-88;0.0%
Цех Zeta;2025-12;Модуль D;86;0;-86;0.0%
Цех Zeta;2025-12;Рама E;125;0;-125;0.0%
Цех Zeta;2025-12;Кронштейн F;88;0;-88;0.0%
Цех Zeta;2025-12;Шток G;97;0;-97;0.0%
Цех Zeta;2025-12;Плата H;127;0;-127;0.0%
Цех Alpha;2025-01;Деталь A;0;112;112;
Цех Alpha;2025-01;Узел B;0;89;89;
Цех Alpha;2025-01;Корпус C;0;61;61;
Цех Alpha;2025-01;Модуль D;0;93;93;
Цех Alpha;2025-01;Рама E;0;99;99;
Цех Alpha;2025-01;Кронштейн F;0;85;85;
Цех Alpha;2025-01;Шток G;0;76;76;
Цех Alpha;2025-01;Плата H;0;82;82;
Цех Alpha;2025-02;Деталь A;0;75;75;
Цех Alpha;2025-02;Узел B;0;63;63;
Цех Alpha;2025-02;Корпус C;0;106;106;
Цех Alpha;2025-02;Модуль D;0;94;94;
Цех Alpha;2025-02;Рама E;0;100;100;
Цех Alpha;2025-02;Кронштейн F;0;132;132;
Цех Alpha;2025-02;Шток G;0;94;94;
Цех Alpha;2025-02;Плата H;0;88;88;
Цех Alpha;2025-03;Деталь A;0;78;78;
Цех Alpha;2025-03;Узел B;0;89;89;
Цех Alpha;2025-03;Корпус C;0;117;117;
Цех Alpha;2025-03;Модуль D;0;122;122;
Цех Alpha;2025-03;Рама E;0;0;0;0.0%
Цех Alpha;2025-03;Кронштейн F;0;80;80;
Цех Alpha;2025-03;Шток G;0;99;99;
Цех Alpha;2025-03;Плата H;0;95;95;
Цех Alpha;2025-04;Деталь A;0;126;126;
Цех Alpha;2025-04;Узел B;0;73;73;
Цех Alpha;2025-04;Корпус C;0;94;94;
Цех Alpha;2025-04;Модуль D;0;135;135;
Цех Alpha;2025-04;Рама E;0;81;81;
Цех Alpha;2025-04;Кронштейн F;0;119;119;
Цех Alpha;2025-04;Шток G;0;79;79;
Цех Alpha;2025-04;Плата H;0;100;100;
Цех Alpha;2025-05;Деталь A;0;111;111;
Цех Alpha;2025-05;Узел B;0;114;114;
Цех Alpha;2025-05;Корпус C;0;89;89;
Цех Alpha;2025-05;Модуль D;0;113;113;
Цех Alpha;2025-05;Рама E;0;112;112;
Цех Alpha;2025-05;Кронштейн F;0;84;84;
Цех Alpha;2025-05;Шток G;0;123;123;
Цех Alpha;2025-05;Плата H;0;0;0;0.0%
Цех Alpha;2025-06;Деталь A;0;87;87;
Цех Alpha;2025-06;Узел B;0;68;68;
Цех Alpha;2025-06;Корпус C;0;0;0;0.0%
Цех Alpha;2025-06;Модуль D;0;93;93;
Цех Alpha;2025-06;Рама E;0;0;0;0.0%
Цех Alpha;2025-06;Кронштейн F;0;124;124;
Цех Alpha;2025-06;Шток G;0;0;0;0.0%
Цех Alpha;2025-06;Плата H;0;85;85;
Цех Alpha;2025-07;Деталь A;0;145;145;
Цех Alpha;2025-07;Узел B;0;92;92;
Цех Alpha;2025-07;Корпус C;0;110;110;
Цех Alpha;2025-07;Модуль D;0;125;125;
Цех Alpha;2025-07;Рама E;0;79;79;
Цех Alpha;2025-07;Кронштейн F;0;89;89;
Цех Alpha;2025-07;Шток G;0;80;80;
Цех Alpha;2025-07;Плата H;0;115;115;
Цех Alpha;2025-08;Деталь A;0;89;89;
Цех Alpha;2025-08;Узел B;0;93;93;
Цех Alpha;2025-08;Корпус C;0;138;138;
Цех Alpha;2025-08;Модуль D;0;119;119;
Цех Alpha;2025-08;Рама E;0;113;113;
Цех Alpha;2025-08;Кронштейн F;0;100;100;
Цех Alpha;2025-08;Шток G;0;142;142;
Цех Alpha;2025-08;Плата H;0;103;103;
Цех Alpha;2025-09;Деталь A;0;0;0;0.0%
Цех Alpha;2025-09;Узел B;0;96;96;
Цех Alpha;2025-09;Корпус C;0;127;127;
Цех Alpha;2025-09;Модуль D;0;0;0;0.0%
Цех Alpha;2025-09;Рама E;0;126;126;
Цех Alpha;2025-09;Кронштейн F;0;0;0;0.0%
Цех Alpha;2025-09;Шток G;0;96;96;
Цех Alpha;2025-09;Плата H;0;91;91;
Цех Alpha;2025-10;Деталь A;0;103;103;
Цех Alpha;2025-10;Узел B;0;108;108;
Цех Alpha;2025-10;Корпус C;0;123;123;
Цех Alpha;2025-10;Модуль D;0;79;79;
Цех Alpha;2025-10;Рама E;0;87;87;
Цех Alpha;2025-10;Кронштейн F;0;0;0;0.0%
Цех Alpha;2025-10;Шток G;0;129;129;
Цех Alpha;2025-10;Плата H;0;60;60;
Цех Alpha;2025-11;Деталь A;0;107;107;
Цех Alpha;2025-11;Узел B;0;112;112;
Цех Alpha;2025-11;Корпус C;0;101;101;
Цех Alpha;2025-11;Модуль D;0;109;109;
Цех Alpha;2025-11;Рама E;0;69;69;
Цех Alpha;2025-11;Кронштейн F;0;57;57;
Цех Alpha;2025-11;Шток G;0;0;0;0.0%
Цех Alpha;2025-11;Плата H;0;122;122;
Цех Alpha;2025-12;Деталь A;0;141;141;
Цех Alpha;2025-12;Узел B;0;77;77;
Цех Alpha;2025-12;Корпус C;0;81;81;
Цех Alpha;2025-12;Модуль D;0;74;74;
Цех Alpha;2025-12;Рама E;0;88;88;
Цех Alpha;2025-12;Кронштейн F;0;127;127;
Цех Alpha;2025-12;Шток G;0;119;119;
Цех Alpha;2025-12;Плата H;0;115;115;
Цех Beta;2025-01;Деталь A;0;130;130;
Цех Beta;2025-01;Узел B;0;100;100;
Цех Beta;2025-01;Корпус C;0;78;78;
Цех Beta;2025-01;Модуль D;0;151;151;
Цех Beta;2025-01;Рама E;0;83;83;
Цех Beta;2025-01;Кронштейн F;0;97;97;
Цех Beta;2025-01;Шток G;0;106;106;
Цех Beta;2025-01;Плата H;0;0;0;0.0%
Цех Beta;2025-02;Деталь A;0;71;71;
Цех Beta;2025-02;Узел B;0;78;78;
Цех Beta;2025-02;Корпус C;0;107;107;
Цех Beta;2025-02;Модуль D;0;115;115;
Цех Beta;2025-02;Рама E;0;100;100;
Цех Beta;2025-02;Кронштейн F;0;96;96;
Цех Beta;2025-02;Шток G;0;64;64;
Цех Beta;2025-02;Плата H;0;81;81;
Цех Beta;2025-03;Деталь A;0;89;89;
Цех Beta;2025-03;Узел B;0;98;98;
Цех Beta;2025-03;Корпус C;0;98;98;
Цех Beta;2025-03;Модуль D;0;70;70;
Цех Beta;2025-03;Рама E;0;109;109;
Цех Beta;2025-03;Кронштейн F;0;106;106;
Цех Beta;2025-03;Шток G;0;121;121;
Цех Beta;2025-03;Плата H;0;86;86;
Цех Beta;2025-04;Деталь A;0;79;79;
Цех Beta;2025-04;Узел B;0;0;0;0.0%
Цех Beta;2025-04;Корпус C;0;110;110;
Цех Beta;2025-04;Модуль D;0;103;103;
Цех Beta;2025-04;Рама E;0;77;77;
Цех Beta;2025-04;Кронштейн F;0;108;108;
Цех Beta;2025-04;Шток G;0;92;92;
Цех Beta;2025-04;Плата H;0;129;129;
Цех Beta;2025-05;Деталь A;0;108;108;
Цех Beta;2025-05;Узел B;0;93;93;
Цех Beta;2025-05;Корпус C;0;77;77;
Цех Beta;2025-05;Модуль D;0;102;102;
Цех Beta;2025-05;Рама E;0;100;100;
Цех Beta;2025-05;Кронштейн F;0;113;113;
Цех Beta;2025-05;Шток G;0;93;93;
Цех Beta;2025-05;Плата H;0;120;120;
Цех Beta;2025-06;Деталь A;0;100;100;
Цех Beta;2025-06;Узел B;0;93;93;
Цех Beta;2025-06;Корпус C;0;77;77;
Цех Beta;2025-06;Модуль D;0;82;82;
Цех Beta;2025-06;Рама E;0;102;102;
Цех Beta;2025-06;Кронштейн F;0;87;87;
Цех Beta;2025-06;Шток G;0;103;103;
Цех Beta;2025-06;Плата H;0;124;124;
Цех Beta;2025-07;Деталь A;0;72;72;
Цех Beta;2025-07;Узел B;0;93;93;
Цех Beta;2025-07;Корпус C;0;135;135;
Цех Beta;2025-07;Модуль D;0;72;72;
Цех Beta;2025-07;Рама E;0;134;134;
Цех Beta;2025-07;Кронштейн F;0;88;88;
Цех Beta;2025-07;Шток G;0;110;110;
Цех Beta;2025-07;Плата H;0;72;72;
Цех Beta;2025-08;Деталь A;0;106;106;
Цех Beta;2025-08;Узел B;0;82;82;
Цех Beta;2025-08;Корпус C;0;117;117;
Цех Beta;2025-08;Модуль D;0;92;92;
Цех Beta;2025-08;Рама E;0;60;60;
Цех Beta;2025-08;Кронштейн F;0;85;85;
Цех Beta;2025-08;Шток G;0;96;96;
Цех Beta;2025-08;Плата H;0;115;115;
Цех Beta;2025-09;Деталь A;0;109;109;
Цех Beta;2025-09;Узел B;0;92;92;
Цех Beta;2025-09;Корпус C;0;119;119;
Цех Beta;2025-09;Модуль D;0;144;144;
Цех Beta;2025-09;Рама E;0;119;119;
Цех Beta;2025-09;Кронштейн F;0;91;91;
Цех Beta;2025-09;Шток G;0;134;134;
Цех Beta;2025-09;Плата H;0;106;106;
Цех Beta;2025-10;Деталь A;0;107;107;
Цех Beta;2025-10;Узел B;0;99;99;
Цех Beta;2025-10;Корпус C;0;89;89;
Цех Beta;2025-10;Модуль D;0;98;98;
Цех Beta;2025-10;Рама E;0;70;70;
Цех Beta;2025-10;Кронштейн F;0;93;93;
Цех Beta;2025-10;Шток G;0;82;82;
Цех Beta;2025-10;Плата H;0;133;133;
Цех Beta;2025-11;Деталь A;0;131;131;
Цех Beta;2025-11;Узел B;0;85;85;
Цех Beta;2025-11;Корпус C;0;116;116;
Цех Beta;2025-11;Модуль D;0;74;74;
Цех Beta;2025-11;Рама E;0;139;139;
Цех Beta;2025-11;Кронштейн F;0;70;70;
Цех Beta;2025-11;Шток G;0;96;96;
Цех Beta;2025-11;Плата H;0;67;67;
Цех Beta;2025-12;Деталь A;0;88;88;
Цех Beta;2025-12;Узел B;0;128;128;
Цех Beta;2025-12;Корпус C;0;115;115;
Цех Beta;2025-12;Модуль D;0;74;74;
Цех Beta;2025-12;Рама E;0;0;0;0.0%
Цех Beta;2025-12;Кронштейн F;0;93;93;
Цех Beta;2025-12;Шток G;0;90;90;
Цех Beta;2025-12;Плата H;0;133;133;
Цех Gamma;2025-01;Деталь A;0;125;125;
Цех Gamma;2025-01;Узел B;0;81;81;
Цех Gamma;2025-01;Корпус C;0;103;103;
Цех Gamma;2025-01;Модуль D;0;84;84;
Цех Gamma;2025-01;Рама E;0;78;78;
Цех Gamma;2025-01;Кронштейн F;0;79;79;
Цех Gamma;2025-01;Шток G;0;105;105;
Цех Gamma;2025-01;Плата H;0;111;111;
Цех Gamma;2025-02;Деталь A;0;97;97;
Цех Gamma;2025-02;Узел B;0;133;133;
Цех Gamma;2025-02;Корпус C;0;100;100;
Цех Gamma;2025-02;Модуль D;0;92;92;
Цех Gamma;2025-02;Рама E;0;104;104;
Цех Gamma;2025-02;Кронштейн F;0;93;93;
Цех Gamma;2025-02;Шток G;0;108;108;
Цех Gamma;2025-02;Плата H;0;62;62;
Цех Gamma;2025-03;Деталь A;0;100;100;
Цех Gamma;2025-03;Узел B;0;86;86;
Цех Gamma;2025-03;Корпус C;0;100;100;
Цех Gamma;2025-03;Модуль D;0;138;138;
Цех Gamma;2025-03;Рама E;0;109;109;
Цех Gamma;2025-03;Кронштейн F;0;78;78;
Цех Gamma;2025-03;Шток G;0;142;142;
Цех Gamma;2025-03;Плата H;0;102;102;
Цех Gamma;2025-04;Деталь A;0;86;86;
Цех Gamma;2025-04;Узел B;0;89;89;
Цех Gamma;2025-04;Корпус C;0;120;120;
Цех Gamma;2025-04;Модуль D;0;117;117;
Цех Gamma;2025-04;Рама E;0;0;0;0.0%
Цех Gamma;2025-04;Кронштейн F;0;92;92;
Цех Gamma;2025-04;Шток G;0;99;99;
Цех Gamma;2025-04;Плата H;0;108;108;
Цех Gamma;2025-05;Деталь A;0;63;63;
Цех Gamma;2025-05;Узел B;0;82;82;
Цех Gamma;2025-05;Корпус C;0;66;66;
Цех Gamma;2025-05;Модуль D;0;82;82;
Цех Gamma;2025-05;Рама E;0;65;65;
Цех Gamma;2025-05;Кронштейн F;0;86;86;
Цех Gamma;2025-05;Шток G;0;81;81;
Цех Gamma;2025-05;Плата H;0;86;86;
Цех Gamma;2025-06;Деталь A;0;71;71;
Цех Gamma;2025-06;Узел B;0;103;103;
Цех Gamma;2025-06;Корпус C;0;90;90;
Цех Gamma;2025-06;Модуль D;0;81;81;
Цех Gamma;2025-06;Рама E;0;73;73;
Цех Gamma;2025-06;Кронштейн F;0;76;76;
Цех Gamma;2025-06;Шток G;0;102;102;
Цех Gamma;2025-06;Плата H;0;116;116;
Цех Gamma;2025-07;Деталь A;0;139;139;
Цех Gamma;2025-07;Узел B;0;0;0;0.0%
Цех Gamma;2025-07;Корпус C;0;101;101;
Цех Gamma;2025-07;Модуль D;0;120;120;
Цех Gamma;2025-07;Рама E;0;74;74;
Цех Gamma;2025-07;Кронштейн F;0;129;129;
Цех Gamma;2025-07;Шток G;0;95;95;
Цех Gamma;2025-07;Плата H;0;98;98;
Цех Gamma;2025-08;Деталь A;0;100;100;
Цех Gamma;2025-08;Узел B;0;105;105;
Цех Gamma;2025-08;Корпус C;0;137;137;
Цех Gamma;2025-08;Модуль D;0;79;79;
Цех Gamma;2025-08;Рама E;0;81;81;
Цех Gamma;2025-08;Кронштейн F;0;120;120;
Цех Gamma;2025-08;Шток G;0;127;127;
Цех Gamma;2025-08;Плата H;0;123;123;
Цех Gamma;2025-09;Деталь A;0;133;133;
Цех Gamma;2025-09;Узел B;0;115;115;
Цех Gamma;2025-09;Корпус C;0;73;73;
Цех Gamma;2025-09;Модуль D;0;127;127;
Цех Gamma;2025-09;Рама E;0;121;121;
Цех Gamma;2025-09;Кронштейн F;0;106;106;
Цех Gamma;2025-09;Шток G;0;105;105;
Цех Gamma;2025-09;Плата H;0;116;116;
Цех Gamma;2025-10;Деталь A;0;132;132;
Цех Gamma;2025-10;Узел B;0;94;94;
Цех Gamma;2025-10;Корпус C;0;117;117;
Цех Gamma;2025-10;Модуль D;0;115;115;
Цех Gamma;2025-10;Рама E;0;115;115;
Цех Gamma;2025-10;Кронштейн F;0;132;132;
Цех Gamma;2025-10;Шток G;0;76;76;
Цех Gamma;2025-10;Плата H;0;149;149;
Цех Gamma;2025-11;Деталь A;0;123;123;
Цех Gamma;2025-11;Узел B;0;96;96;
Цех Gamma;2025-11;Корпус C;0;98;98;
Цех Gamma;2025-11;Модуль D;0;95;95;
Цех Gamma;2025-11;Рама E;0;98;98;
Цех Gamma;2025-11;Кронштейн F;0;127;127;
Цех Gamma;2025-11;Шток G;0;0;0;0.0%
Цех Gamma;2025-11;Плата H;0;97;97;
Цех Gamma;2025-12;Деталь A;0;71;71;
Цех Gamma;2025-12;Узел B;0;0;0;0.0%
Цех Gamma;2025-12;Корпус C;0;101;101;
Цех Gamma;2025-12;Модуль D;0;136;136;
Цех Gamma;2025-12;Рама E;0;116;116;
Цех Gamma;2025-12;Кронштейн F;0;83;83;
Цех Gamma;2025-12;Шток G;0;117;117;
Цех Gamma;2025-12;Плата H;0;102;102;
Цех Delta;2025-01;Деталь A;0;93;93;
Цех Delta;2025-01;Узел B;0;85;85;
Цех Delta;2025-01;Корпус C;0;82;82;
Цех Delta;2025-01;Модуль D;0;58;58;
Цех Delta;2025-01;Рама E;0;81;81;
Цех Delta;2025-01;Кронштейн F;0;100;100;
Цех Delta;2025-01;Шток G;0;88;88;
Цех Delta;2025-01;Плата H;0;113;113;
Цех Delta;2025-02;Деталь A;0;129;129;
Цех Delta;2025-02;Узел B;0;138;138;
Цех Delta;2025-02;Корпус C;0;108;108;
Цех Delta;2025-02;Модуль D;0;101;101;
Цех Delta;2025-02;Рама E;0;111;111;
Цех Delta;2025-02;Кронштейн F;0;88;88;
Цех Delta;2025-02;Шток G;0;96;96;
Цех Delta;2025-02;Плата H;0;134;134;
Цех Delta;2025-03;Деталь A;0;140;140;
Цех Delta;2025-03;Узел B;0;125;125;
Цех Delta;2025-03;Корпус C;0;119;119;
Цех Delta;2025-03;Модуль D;0;0;0;0.0%
Цех Delta;2025-03;Рама E;0;123;123;
Цех Delta;2025-03;Кронштейн F;0;127;127;
Цех Delta;2025-03;Шток G;0;66;66;
Цех Delta;2025-03;Плата H;0;97;97;
Цех Delta;2025-04;Деталь A;0;83;83;
Цех Delta;2025-04;Узел B;0;104;104;
Цех Delta;2025-04;Корпус C;0;128;128;
Цех Delta;2025-04;Модуль D;0;113;113;
Цех Delta;2025-04;Рама E;0;106;106;
Цех Delta;2025-04;Кронштейн F;0;73;73;
Цех Delta;2025-04;Шток G;0;89;89;
Цех Delta;2025-04;Плата H;0;90;90;
Цех Delta;2025-05;Деталь A;0;96;96;
Цех Delta;2025-05;Узел B;0;116;116;
Цех Delta;2025-05;Корпус C;0;125;125;
Цех Delta;2025-05;Модуль D;0;99;99;
Цех Delta;2025-05;Рама E;0;82;82;
Цех Delta;2025-05;Кронштейн F;0;73;73;
Цех Delta;2025-05;Шток G;0;0;0;0.0%
Цех Delta;2025-05;Плата H;0;118;118;
Цех Delta;2025-06;Деталь A;0;112;112;
Цех Delta;2025-06;Узел B;0;115;115;
Цех Delta;2025-06;Корпус C;0;123;123;
Цех Delta;2025-06;Модуль D;0;89;89;
Цех Delta;2025-06;Рама E;0;112;112;
Цех Delta;2025-06;Кронштейн F;0;122;122;
Цех Delta;2025-06;Шток G;0;104;104;
Цех Delta;2025-06;Плата H;0;130;130;
Цех Delta;2025-07;Деталь A;0;111;111;
Цех Delta;2025-07;Узел B;0;101;101;
Цех Delta;2025-07;Корпус C;0;96;96;
Цех Delta;2025-07;Модуль D;0;89;89;
Цех Delta;2025-07;Рама E;0;0;0;0.0%
Цех Delta;2025-07;Кронштейн F;0;74;74;
Цех Delta;2025-07;Шток G;0;103;103;
Цех Delta;2025-07;Плата H;0;96;96;
Цех Delta;2025-08;Деталь A;0;113;113;
Цех Delta;2025-08;Узел B;0;97;97;
Цех Delta;2025-08;Корпус C;0;64;64;
Цех Delta;2025-08;Модуль D;0;67;67;
Цех Delta;2025-08;Рама E;0;97;97;
Цех Delta;2025-08;Кронштейн F;0;94;94;
Цех Delta;2025-08;Шток G;0;139;139;
Цех Delta;2025-08;Плата H;0;88;88;
Цех Delta;2025-09;Деталь A;0;124;124;
Цех Delta;2025-09;Узел B;0;95;95;
Цех Delta;2025-09;Корпус C;0;109;109;
Цех Delta;2025-09;Модуль D;0;0;0;0.0%
Цех Delta;2025-09;Рама E;0;73;73;
Цех Delta;2025-09;Кронштейн F;0;92;92;
Цех Delta;2025-09;Шток G;0;135;135;
Цех Delta;2025-09;Плата H;0;93;93;
Цех Delta;2025-10;Деталь A;0;100;100;
Цех Delta;2025-10;Узел B;0;113;113;
Цех Delta;2025-10;Корпус C;0;149;149;
Цех Delta;2025-10;Модуль D;0;86;86;
Цех Delta;2025-10;Рама E;0;139;139;
Цех Delta;2025-10;Кронштейн F;0;86;86;
Цех Delta;2025-10;Шток G;0;82;82;
Цех Delta;2025-10;Плата H;0;112;112;
Цех Delta;2025-11;Деталь A;0;73;73;
Цех Delta;2025-11;Узел B;0;107;107;
Цех Delta;2025-11;Корпус C;0;79;79;
Цех Delta;2025-11;Модуль D;0;107;107;
Цех Delta;2025-11;Рама E;0;113;113;
Цех Delta;2025-11;Кронштейн F;0;65;65;
Цех Delta;2025-11;Шток G;0;107;107;
Цех Delta;2025-11;Плата H;0;108;108;
Цех Delta;2025-12;Деталь A;0;125;125;
Цех Delta;2025-12;Узел B;0;71;71;
Цех Delta;2025-12;Корпус C;0;95;95;
Цех Delta;2025-12;Модуль D;0;107;107;
Цех Delta;2025-12;Рама E;0;106;106;
Цех Delta;2025-12;Кронштейн F;0;83;83;
Цех Delta;2025-12;Шток G;0;0;0;0.0%
Цех Delta;2025-12;Плата H;0;83;83;
Цех Epsilon;2025-01;Деталь A;0;104;104;
Цех Epsilon;2025-01;Узел B;0;117;117;
Цех Epsilon;2025-01;Корпус C;0;86;86;
Цех Epsilon;2025-01;Модуль D;0;113;113;
Цех Epsilon;2025-01;Рама E;0;93;93;
Цех Epsilon;2025-01;Кронштейн F;0;122;122;
Цех Epsilon;2025-01;Шток G;0;97;97;
Цех Epsilon;2025-01;Плата H;0;69;69;
Цех Epsilon;2025-02;Деталь A;0;90;90;
Цех Epsilon;2025-02;Узел B;0;93;93;
Цех Epsilon;2025-02;Корпус C;0;82;82;
Цех Epsilon;2025-02;Модуль D;0;129;129;
Цех Epsilon;2025-02;Рама E;0;90;90;
Цех Epsilon;2025-02;Кронштейн F;0;89;89;
Цех Epsilon;2025-02;Шток G;0;96;96;
Цех Epsilon;2025-02;Плата H;0;73;73;
Цех Epsilon;2025-03;Деталь A;0;81;81;
Цех Epsilon;2025-03;Узел B;0;103;103;
