Цех;Период;Продукт;План;Факт;Отклонение;Выполнение %;Энергоёмкость;Трудоёмкость;Использование времени
Цех Epsilon;2025-05;Плата H;77;108;31;140.3%;1.56;0.85;17.6%
Цех Epsilon;2025-05;Рама E;114;115;1;100.9%;1.42;0.44;170.0%
Цех Epsilon;2025-05;Узел B;99;112;13;113.1%;1.66;0.83;72.6%
Цех Epsilon;2025-05;Шток G;123;69;-54;56.1%;1.61;0.88;153.8%
Цех Epsilon;2025-06;Деталь A;96;99;3;103.1%;1.02;0.15;520.3%
Цех Epsilon;2025-06;Корпус C;103;109;6;105.8%;1.68;0.44;164.3%
Цех Epsilon;2025-06;Кронштейн F;102;129;27;126.5%;1.46;0.13;343.0%
Цех Epsilon;2025-06;Модуль D;90;95;5;105.6%;0.85;0.85;54.3%
Цех Epsilon;2025-06;Плата H;116;138;22;119.0%;1.18;0.13;133.1%
Цех Epsilon;2025-06;Рама E;99;104;5;105.1%;0.85;1.10;54.8%
Цех Epsilon;2025-06;Узел B;96;102;6;106.2%;1.41;0.96;54.9%
Цех Epsilon;2025-06;Шток G;97;87;-10;89.7%;1.18;0.25;314.8%
Цех Epsilon;2025-07;Деталь A;102;136;34;133.3%;0.77;0.87;16.9%
Цех Epsilon;2025-07;Корпус C;129;129;0;100.0%;1.66;0.70;38.8%
Цех Epsilon;2025-07;Кронштейн F;88;109;21;123.9%;1.41;0.58;122.8%
Цех Epsilon;2025-07;Модуль D;130;79;-51;60.8%;1.52;0.78;169.0%
Цех Epsilon;2025-07;Плата H;104;0;-104;0.0%;0.00;0.00;0.0%
Цех Epsilon;2025-07;Рама E;117;124;7;106.0%;1.38;1.03;28.8%
Цех Epsilon;2025-07;Узел B;74;127;53;171.6%;0.89;0.62;31.4%
Цех Epsilon;2025-07;Шток G;73;105;32;143.8%;1.59;0.82;34.1%
Цех Epsilon;2025-08;Деталь A;118;0;-118;0.0%;0.00;0.00;0.0%
Цех Epsilon;2025-08;Корпус C;113;73;-40;64.6%;0.94;0.81;99.9%
Цех Epsilon;2025-08;Кронштейн F;98;131;33;133.7%;1.42;1.05;22.8%
Цех Epsilon;2025-08;Модуль D;97;93;-4;95.9%;1.75;0.18;329.4%
Цех Epsilon;2025-08;Плата H;122;103;-19;84.4%;1.37;0.81;129.1%
Цех Epsilon;2025-08;Рама E;99;130;31;131.3%;1.48;0.94;55.8%
Цех Epsilon;2025-08;Узел B;86;0;-86;0.0%;0.00;0.00;0.0%
Цех Epsilon;2025-08;Шток G;115;71;-44;61.7%;1.04;1.02;142.1%
Цех Epsilon;2025-09;Деталь A;75;95;20;126.7%;1.39;0.98;51.2%
Цех Epsilon;2025-09;Корпус C;129;111;-18;86.0%;1.05;0.91;84.6%
Цех Epsilon;2025-09;Кронштейн F;93;105;12;112.9%;1.45;0.99;30.6%
Цех Epsilon;2025-09;Модуль D;110;92;-18;83.6%;1.48;0.71;34.3%
Цех Epsilon;2025-09;Плата H;118;102;-16;86.4%;1.74;0.19;479.4%
Цех Epsilon;2025-09;Рама E;106;124;18;117.0%;0.82;0.45;33.0%
Цех Epsilon;2025-09;Узел B;104;90;-14;86.5%;1.28;1.08;32.2%
Цех Epsilon;2025-09;Шток G;98;83;-15;84.7%;0.82;0.33;179.6%
Цех Epsilon;2025-10;Деталь A;115;0;-115;0.0%;0.00;0.00;0.0%
Цех Epsilon;2025-10;Корпус C;100;88;-12;88.0%;1.02;0.47;113.9%
Цех Epsilon;2025-10;Кронштейн F;102;79;-23;77.5%;1.40;0.27;421.4%
Цех Epsilon;2025-10;Модуль D;104;0;-104;0.0%;0.00;0.00;0.0%
Цех Epsilon;2025-10;Плата H;130;128;-2;98.5%;1.23;0.42;193.4%
Цех Epsilon;2025-10;Рама E;129;82;-47;63.6%;0.91;0.20;335.1%
Цех Epsilon;2025-10;Узел B;122;89;-33;73.0%;0.97;0.74;131.3%
Цех Epsilon;2025-10;Шток G;121;117;-4;96.7%;1.08;0.12;151.3%
Цех Epsilon;2025-11;Деталь A;90;135;45;150.0%;1.13;0.31;126.9%
Цех Epsilon;2025-11;Корпус C;92;70;-22;76.1%;1.34;0.87;104.8%
Цех Epsilon;2025-11;Кронштейн F;87;75;-12;86.2%;1.19;0.62;153.6%
Цех Epsilon;2025-11;Модуль D;102;103;1;101.0%;1.26;0.85;60.2%
Цех Epsilon;2025-11;Плата H;111;126;15;113.5%;1.17;1.07;29.4%
Цех Epsilon;2025-11;Рама E;72;80;8;111.1%;1.13;0.96;75.3%
Цех Epsilon;2025-11;Узел B;101;96;-5;95.0%;1.57;0.96;52.2%
Цех Epsilon;2025-11;Шток G;94;0;-94;0.0%;0.00;0.00;0.0%
Цех Epsilon;2025-12;Деталь A;100;73;-27;73.0%;0.90;0.68;119.8%
Цех Epsilon;2025-12;Корпус C;127;78;-49;61.4%;1.77;0.68;73.8%
Цех Epsilon;2025-12;Кронштейн F;115;77;-38;67.0%;1.30;0.63;165.5%
Цех Epsilon;2025-12;Модуль D;72;138;66;191.7%;1.74;1.00;32.3%
Цех Epsilon;2025-12;Плата H;119;131;12;110.1%;1.23;0.46;134.4%
Цех Epsilon;2025-12;Рама E;109;82;-27;75.2%;1.59;0.29;284.3%
Цех Epsilon;2025-12;Узел B;123;85;-38;69.1%;1.27;0.52;232.9%
Цех Epsilon;2025-12;Шток G;93;99;6;106.5%;1.38;0.17;135.5%
Цех Gamma;2025-01;Деталь A;73;127;54;174.0%;1.67;0.37;133.4%
Цех Gamma;2025-01;Корпус C;106;98;-8;92.5%;1.17;0.43;54.0%
Цех Gamma;2025-01;Кронштейн F;114;122;8;107.0%;0.88;1.00;79.9%
Цех Gamma;2025-01;Модуль D;92;127;35;138.0%;1.46;0.47;70.7%
Цех Gamma;2025-01;Плата H;112;75;-37;67.0%;1.36;0.16;559.6%
Цех Gamma;2025-01;Рама E;108;82;-26;75.9%;0.90;0.23;456.7%
Цех Gamma;2025-01;Узел B;99;69;-30;69.7%;1.14;0.24;445.0%
Цех Gamma;2025-01;Шток G;84;0;-84;0.0%;0.00;0.00;0.0%
Цех Gamma;2025-02;Деталь A;98;99;1;101.0%;1.24;0.92;29.6%
Цех Gamma;2025-02;Корпус C;82;125;43;152.4%;1.37;0.34;62.1%
Цех Gamma;2025-02;Кронштейн F;128;137;9;107.0%;0.93;0.54;104.4%
Цех Gamma;2025-02;Модуль D;101;112;11;110.9%;1.71;0.54;142.5%
Цех Gamma;2025-02;Плата H;91;83;-8;91.2%;1.11;0.19;186.1%
Цех Gamma;2025-02;Рама E;76;124;48;163.2%;1.14;0.15;266.0%
Цех Gamma;2025-02;Узел B;105;120;15;114.3%;1.20;0.78;100.3%
Цех Gamma;2025-02;Шток G;120;61;-59;50.8%;1.74;0.45;232.1%
Цех Gamma;2025-03;Деталь A;97;74;-23;76.3%;1.39;0.48;77.5%
Цех Gamma;2025-03;Корпус C;111;118;7;106.3%;1.28;1.06;25.6%
Цех Gamma;2025-03;Кронштейн F;122;118;-4;96.7%;1.14;0.58;34.2%
Цех Gamma;2025-03;Модуль D;114;62;-52;54.4%;1.72;0.53;256.9%
Цех Gamma;2025-03;Плата H;97;101;4;104.1%;1.77;0.88;88.9%
Цех Gamma;2025-03;Рама E;126;99;-27;78.6%;1.23;0.40;130.2%
Цех Gamma;2025-03;Узел B;71;124;53;174.6%;0.86;0.28;63.6%
Цех Gamma;2025-03;Шток G;75;77;2;102.7%;1.78;0.40;212.1%
Цех Gamma;2025-04;Деталь A;97;64;-33;66.0%;1.32;0.87;147.9%
Цех Gamma;2025-04;Корпус C;113;106;-7;93.8%;1.03;1.07;28.0%
Цех Gamma;2025-04;Кронштейн F;80;119;39;148.8%;1.58;0.57;79.0%
Цех Gamma;2025-04;Модуль D;89;109;20;122.5%;1.36;1.10;33.2%
Цех Gamma;2025-04;Плата H;124;76;-48;61.3%;1.38;0.47;266.5%
Цех Gamma;2025-04;Рама E;99;85;-14;85.9%;1.17;1.09;76.5%
Цех Gamma;2025-04;Узел B;113;143;30;126.5%;1.62;0.81;86.9%
Цех Gamma;2025-04;Шток G;127;103;-24;81.1%;1.25;0.65;50.2%
Цех Gamma;2025-05;Деталь A;97;131;34;135.1%;1.58;0.24;97.3%
Цех Gamma;2025-05;Корпус C;108;0;-108;0.0%;0.00;0.00;0.0%
Цех Gamma;2025-05;Кронштейн F;126;143;17;113.5%;1.62;0.87;22.2%
Цех Gamma;2025-05;Модуль D;102;118;16;115.7%;0.96;0.87;59.3%
Цех Gamma;2025-05;Плата H;126;111;-15;88.1%;1.69;0.18;218.8%
Цех Gamma;2025-05;Рама E;70;87;17;124.3%;1.13;0.83;56.6%
Цех Gamma;2025-05;Узел B;94;91;-3;96.8%;0.79;1.07;30.7%
Цех Gamma;2025-05;Шток G;96;81;-15;84.4%;1.80;0.18;537.3%
Цех Gamma;2025-06;Деталь A;121;97;-24;80.2%;1.77;0.34;91.7%
Цех Gamma;2025-06;Корпус C;110;124;14;112.7%;1.43;0.92;83.3%
Цех Gamma;2025-06;Кронштейн F;75;78;3;104.0%;1.53;0.26;237.2%
Цех Gamma;2025-06;Модуль D;72;101;29;140.3%;1.76;0.13;441.2%
Цех Gamma;2025-06;Плата H;96;108;12;112.5%;1.26;0.20;97.5%
Цех Gamma;2025-06;Рама E;108;0;-108;0.0%;0.00;0.00;0.0%
Цех Gamma;2025-06;Узел B;82;102;20;124.4%;1.47;0.83;79.3%
Цех Gamma;2025-06;Шток G;77;126;49;163.6%;1.60;0.99;34.9%
Цех Gamma;2025-07;Деталь A;78;70;-8;89.7%;1.12;0.23;222.3%
Цех Gamma;2025-07;Корпус C;102;99;-3;97.1%;1.28;0.90;39.5%
Цех Gamma;2025-07;Кронштейн F;113;142;29;125.7%;1.25;0.34;49.1%
Цех Gamma;2025-07;Модуль D;120;84;-36;70.0%;1.50;0.77;127.9%
Цех Gamma;2025-07;Плата H;84;81;-3;96.4%;1.28;0.56;122.6%
Цех Gamma;2025-07;Рама E;111;90;-21;81.1%;1.59;1.03;62.5%
Цех Gamma;2025-07;Узел B;106;132;26;124.5%;0.76;0.22;157.5%
Цех Gamma;2025-07;Шток G;93;98;5;105.4%;0.98;0.53;56.7%
Цех Gamma;2025-08;Деталь A;128;88;-40;68.8%;1.42;0.64;47.4%
Цех Gamma;2025-08;Корпус C;101;63;-38;62.4%;1.03;0.61;137.7%
Цех Gamma;2025-08;Кронштейн F;110;104;-6;94.5%;1.36;0.58;140.7%
Цех Gamma;2025-08;Модуль D;101;94;-7;93.1%;1.51;0.39;142.1%
Цех Gamma;2025-08;Плата H;118;60;-58;50.8%;1.66;0.68;190.3%
Цех Gamma;2025-08;Рама E;93;110;17;118.3%;1.29;0.17;302.8%
Цех Gamma;2025-08;Узел B;123;128;5;104.1%;1.59;0.66;114.5%
Цех Gamma;2025-08;Шток G;121;68;-53;56.2%;1.08;0.22;332.5%
Цех Gamma;2025-09;Деталь A;118;99;-19;83.9%;1.71;0.49;139.8%
Цех Gamma;2025-09;Корпус C;121;135;14;111.6%;0.75;0.28;255.7%
Цех Gamma;2025-09;Кронштейн F;71;95;24;133.8%;1.27;0.50;118.4%
Цех Gamma;2025-09;Модуль D;81;102;21;125.9%;1.04;0.25;240.5%
Цех Gamma;2025-09;Плата H;118;92;-26;78.0%;1.19;0.93;94.4%
Цех Gamma;2025-09;Рама E;108;78;-30;72.2%;0.86;0.89;100.6%
Цех Gamma;2025-09;Узел B;127;86;-41;67.7%;0.79;0.67;76.8%
Цех Gamma;2025-09;Шток G;72;109;37;151.4%;1.42;0.88;60.4%
Цех Gamma;2025-10;Деталь A;106;107;1;100.9%;1.66;0.84;92.2%
Цех Gamma;2025-10;Корпус C;125;107;-18;85.6%;1.52;1.08;71.7%
Цех Gamma;2025-10;Кронштейн F;118;111;-7;94.1%;0.77;0.49;58.2%
Цех Gamma;2025-10;Модуль D;86;108;22;125.6%;0.96;0.99;49.3%
Цех Gamma;2025-10;Плата H;71;69;-2;97.2%;1.37;0.13;637.8%
Цех Gamma;2025-10;Рама E;128;107;-21;83.6%;1.61;0.89;96.4%
Цех Gamma;2025-10;Узел B;118;81;-37;68.6%;1.39;0.41;239.5%
Цех Gamma;2025-10;Шток G;71;104;33;146.5%;1.75;0.15;367.1%
Цех Gamma;2025-11;Деталь A;97;127;30;130.9%;1.17;0.87;15.1%
Цех Gamma;2025-11;Корпус C;92;98;6;106.5%;1.15;0.48;48.2%
Цех Gamma;2025-11;Кронштейн F;102;0;-102;0.0%;0.00;0.00;0.0%
Цех Gamma;2025-11;Модуль D;106;97;-9;91.5%;1.06;0.88;50.0%
Цех Gamma;2025-11;Плата H;88;118;30;134.1%;0.99;0.36;159.6%
Цех Gamma;2025-11;Рама E;101;114;13;112.9%;1.35;0.68;92.6%
Цех Gamma;2025-11;Узел B;123;136;13;110.6%;1.30;1.08;64.6%
Цех Gamma;2025-11;Шток G;70;89;19;127.1%;1.06;0.32;185.9%
Цех Gamma;2025-12;Деталь A;71;96;25;135.2%;1.46;0.69;56.8%
Цех Gamma;2025-12;Корпус C;113;85;-28;75.2%;0.97;0.83;58.4%
Цех Gamma;2025-12;Кронштейн F;75;73;-2;97.3%;1.71;0.40;158.4%
Цех Gamma;2025-12;Модуль D;95;66;-29;69.5%;1.57;0.69;128.4%
Цех Gamma;2025-12;Плата H;124;97;-27;78.2%;1.22;0.25;317.9%
Цех Gamma;2025-12;Рама E;101;93;-8;92.1%;1.70;0.28;342.8%
Цех Gamma;2025-12;Узел B;122;126;4;103.3%;1.79;0.65;22.9%
Цех Gamma;2025-12;Шток G;101;130;29;128.7%;1.47;0.80;33.6%
Цех Zeta;2025-01;Деталь A;101;79;-22;78.2%;1.75;1.05;101.7%
Цех Zeta;2025-01;Корпус C;91;129;38;141.8%;1.40;0.87;26.8%
Цех Zeta;2025-01;Кронштейн F;96;98;2;102.1%;1.24;0.88;88.2%
Цех Zeta;2025-01;Модуль D;92;92;0;100.0%;1.14;0.81;107.9%
Цех Zeta;2025-01;Плата H;71;144;73;202.8%;1.54;0.33;49.9%
Цех Zeta;2025-01;Рама E;71;76;5;107.0%;0.96;0.45;58.9%
Цех Zeta;2025-01;Узел B;116;68;-48;58.6%;1.70;0.58;83.9%
Цех Zeta;2025-01;Шток G;111;102;-9;91.9%;1.33;0.55;102.8%
Цех Zeta;2025-02;Деталь A;95;84;-11;88.4%;0.87;0.72;126.8%
Цех Zeta;2025-02;Корпус C;109;130;21;119.3%;1.56;0.35;127.6%
Цех Zeta;2025-02;Кронштейн F;112;100;-12;89.3%;1.10;0.41;74.9%
Цех Zeta;2025-02;Модуль D;102;110;8;107.8%;1.72;0.48;81.3%
Цех Zeta;2025-02;Плата H;117;99;-18;84.6%;1.38;0.62;168.2%
Цех Zeta;2025-02;Рама E;78;88;10;112.8%;1.30;0.88;59.9%
Цех Zeta;2025-02;Узел B;86;88;2;102.3%;1.39;0.32;149.8%
Цех Zeta;2025-02;Шток G;123;125;2;101.6%;1.39;0.78;55.6%
Цех Zeta;2025-03;Деталь A;108;83;-25;76.9%;1.76;0.13;343.6%
Цех Zeta;2025-03;Корпус C;111;121;10;109.0%;1.21;0.38;96.1%
Цех Zeta;2025-03;Кронштейн F;104;74;-30;71.2%;1.22;1.01;121.5%
Цех Zeta;2025-03;Модуль D;124;102;-22;82.3%;1.78;1.04;85.3%
Цех Zeta;2025-03;Плата H;94;112;18;119.1%;1.61;0.86;31.8%
Цех Zeta;2025-03;Рама E;95;137;42;144.2%;0.85;0.28;61.5%
Цех Zeta;2025-03;Узел B;98;102;4;104.1%;1.21;0.90;68.7%
Цех Zeta;2025-03;Шток G;119;65;-54;54.6%;1.45;0.86;104.9%
Цех Zeta;2025-04;Деталь A;93;93;0;100.0%;1.66;0.36;56.3%
Цех Zeta;2025-04;Корпус C;129;85;-44;65.9%;1.21;0.84;98.1%
Цех Zeta;2025-04;Кронштейн F;126;131;5;104.0%;1.36;0.50;90.6%
Цех Zeta;2025-04;Модуль D;127;67;-60;52.8%;1.62;0.24;321.5%
Цех Zeta;2025-04;Плата H;114;74;-40;64.9%;1.30;0.81;117.2%
Цех Zeta;2025-04;Рама E;76;131;55;172.4%;1.27;0.41;108.2%
Цех Zeta;2025-04;Узел B;82;111;29;135.4%;1.69;1.01;20.3%
Цех Zeta;2025-04;Шток G;105;85;-20;81.0%;1.52;0.77;54.3%
Цех Zeta;2025-05;Деталь A;89;105;16;118.0%;0.76;0.93;62.0%
Цех Zeta;2025-05;Корпус C;77;150;73;194.8%;0.82;0.70;20.1%
Цех Zeta;2025-05;Кронштейн F;83;119;36;143.4%;0.78;0.89;51.0%
Цех Zeta;2025-05;Модуль D;115;75;-40;65.2%;1.66;0.34;80.4%
Цех Zeta;2025-05;Плата H;120;0;-120;0.0%;0.00;0.00;0.0%
Цех Zeta;2025-05;Рама E;85;95;10;111.8%;1.06;1.04;60.4%
Цех Zeta;2025-05;Узел B;70;143;73;204.3%;0.83;0.47;28.4%
Цех Zeta;2025-05;Шток G;81;118;37;145.7%;0.81;0.80;43.5%
Цех Zeta;2025-06;Деталь A;92;105;13;114.1%;1.61;0.59;112.4%
Цех Zeta;2025-06;Корпус C;97;69;-28;71.1%;1.26;0.94;119.3%
Цех Zeta;2025-06;Кронштейн F;101;77;-24;76.2%;1.38;1.04;44.5%
Цех Zeta;2025-06;Модуль D;103;101;-2;98.1%;1.36;0.87;35.8%
Цех Zeta;2025-06;Плата H;91;99;8;108.8%;0.99;0.35;142.2%
Цех Zeta;2025-06;Рама E;71;80;9;112.7%;1.73;0.24;87.9%
Цех Zeta;2025-06;Узел B;84;126;42;150.0%;0.80;0.67;58.9%
Цех Zeta;2025-06;Шток G;92;91;-1;98.9%;1.44;1.07;18.2%
Цех Zeta;2025-07;Деталь A;120;87;-33;72.5%;1.44;0.20;602.1%
Цех Zeta;2025-07;Корпус C;127;96;-31;75.6%;1.02;0.22;142.8%
Цех Zeta;2025-07;Кронштейн F;127;70;-57;55.1%;1.67;0.67;105.5%
Цех Zeta;2025-07;Модуль D;130;110;-20;84.6%;1.31;0.39;147.3%
Цех Zeta;2025-07;Плата H;91;80;-11;87.9%;1.71;0.74;27.8%
Цех Zeta;2025-07;Рама E;91;80;-11;87.9%;0.91;0.93;103.9%
Цех Zeta;2025-07;Узел B;94;79;-15;84.0%;1.74;0.17;128.8%
Цех Zeta;2025-07;Шток G;127;0;-127;0.0%;0.00;0.00;0.0%
Цех Zeta;2025-08;Деталь A;118;116;-2;98.3%;1.08;0.16;163.9%
Цех Zeta;2025-08;Корпус C;111;0;-111;0.0%;0.00;0.00;0.0%
Цех Zeta;2025-08;Кронштейн F;123;80;-43;65.0%;1.48;0.44;221.0%
Цех Zeta;2025-08;Модуль D;75;112;37;149.3%;1.64;0.59;17.3%
Цех Zeta;2025-08;Плата H;129;78;-51;60.5%;1.40;0.57;143.7%
Цех Zeta;2025-08;Рама E;84;92;8;109.5%;0.98;0.99;79.9%
Цех Zeta;2025-08;Узел B;121;118;-3;97.5%;1.62;0.26;346.4%
Цех Zeta;2025-08;Шток G;112;93;-19;83.0%;1.45;0.91;106.1%
Цех Zeta;2025-09;Деталь A;106;92;-14;86.8%;1.44;0.79;77.9%
Цех Zeta;2025-09;Корпус C;77;68;-9;88.3%;1.19;0.28;265.7%
Цех Zeta;2025-09;Кронштейн F;113;113;0;100.0%;1.00;0.93;40.8%
Цех Zeta;2025-09;Модуль D;122;116;-6;95.1%;1.59;0.83;32.3%
Цех Zeta;2025-09;Плата H;74;67;-7;90.5%;0.97;0.53;62.6%
Цех Zeta;2025-09;Рама E;129;110;-19;85.3%;0.77;0.77;26.3%
Цех Zeta;2025-09;Узел B;102;109;7;106.9%;0.82;0.99;48.9%
Цех Zeta;2025-09;Шток G;113;106;-7;93.8%;0.99;0.97;74.5%
Цех Zeta;2025-10;Деталь A;108;115;7;106.5%;1.36;0.13;469.5%
Цех Zeta;2025-10;Корпус C;75;85;10;113.3%;1.04;0.82;23.9%
Цех Zeta;2025-10;Кронштейн F;121;116;-5;95.9%;0.85;0.56;148.9%
Цех Zeta;2025-10;Модуль D;114;88;-26;77.2%;1.33;0.17;500.1%
Цех Zeta;2025-10;Плата H;116;63;-53;54.3%;1.21;0.45;275.3%
Цех Zeta;2025-10;Рама E;101;78;-23;77.2%;0.98;0.43;145.0%
Цех Zeta;2025-10;Узел B;73;105;32;143.8%;1.48;0.48;127.9%
Цех Zeta;2025-10;Шток G;99;102;3;103.0%;1.04;0.45;61.6%
Цех Zeta;2025-11;Деталь A;104;112;8;107.7%;0.98;0.32;222.9%
Цех Zeta;2025-11;Корпус C;109;101;-8;92.7%;0.93;0.93;76.8%
Цех Zeta;2025-11;Кронштейн F;82;116;34;141.5%;1.46;0.93;61.0%
Цех Zeta;2025-11;Модуль D;121;95;-26;78.5%;0.95;0.75;89.0%
Цех Zeta;2025-11;Плата H;129;75;-54;58.1%;1.03;0.20;148.9%
Цех Zeta;2025-11;Рама E;85;92;7;108.2%;1.08;0.24;236.5%
Цех Zeta;2025-11;Узел B;124;115;-9;92.7%;0.91;0.38;241.8%
Цех Zeta;2025-11;Шток G;119;79;-40;66.4%;0.80;0.76;114.1%
Цех Zeta;2025-12;Деталь A;111;108;-3;97.3%;0.87;0.29;305.2%
Цех Zeta;2025-12;Корпус C;88;133;45;151.1%;1.22;0.73;59.9%
Цех Zeta;2025-12;Кронштейн F;88;129;41;146.6%;1.68;1.09;27.8%
Цех Zeta;2025-12;Модуль D;86;95;9;110.5%;0.96;1.04;27.2%
Цех Zeta;2025-12;Плата H;127;62;-65;48.8%;1.78;0.78;60.4%
Цех Zeta;2025-12;Рама E;125;103;-22;82.4%;0.85;0.71;109.9%
Цех Zeta;2025-12;Узел B;99;105;6;106.1%;1.66;0.40;155.9%
Цех Zeta;2025-12;Шток G;97;73;-24;75.3%;1.58;0.71;119.4%
